source,article_date,price_date,species,market,spec,price,unit,note
科学养鱼,2026-08-21,2026-08-21,鳜鱼（桂花鱼）,山西太原五龙口海鲜市场,500≤条重<750g,65.0,元/千克,
科学养鱼,2026-08-21,2026-08-21,鳜鱼（桂花鱼）,上海江杨水产品批发市场经营管理有限公司,500≤条重<750g,102.0,元/千克,
科学养鱼,2026-08-21,2026-08-21,鳜鱼（桂花鱼）,湖北宜昌三峡物流园有限公司水产市场,250≤条重<500g,80.0,元/千克,
科学养鱼,2026-08-21,2026-08-21,鳜鱼（桂花鱼）,湖北宜昌三峡物流园有限公司水产市场,500≤条重<750g,100.0,元/千克,
科学养鱼,2026-08-21,2026-08-21,鳜鱼（桂花鱼）,湖北省武汉市白沙洲农副产品大市场,250≤条重<500g,87.0,元/千克,
科学养鱼,2026-08-21,2026-08-21,鳜鱼（桂花鱼）,湖北省武汉市白沙洲农副产品大市场,500≤条重<750g,99.0,元/千克,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,广东地区,小鳜（0.8斤以下）,34.0,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,广东地区,标鳜（0.8-1.5斤）,40.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,广东地区,中鳜（1.5斤以上）,40.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,湖北地区,标鳜,40.0,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,安徽地区,标鳜,38.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,江西地区,标鳜,37.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,湖南地区,标鳜,38.0,元/斤,
a渔业行情,2026-08-19,2026-08-19,鳜鱼,江苏地区,标鳜,38.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,广东佛山,1斤上,9.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,湖北,8.5两上,10-10.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,四川,9两上,13.0,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,四川,1斤上,14.0,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,江苏,9两上,10-10.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,河南,1斤起,10.5-11,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,浙江,8成统货,11-11.5,元/斤,
a渔业行情,2026-08-19,2026-08-19,加州鲈,湖南,9两上,10.5,元/斤,
